accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
U3KPZ7,ENSG00000275740,0.64731327,-0.266487121,-0.065766953,0.431784779,0.001623615,0.412156014,0.977139787,0.051142687
A0A7P0T868,ENSG00000275700,0.756484171,0.129051241,0.210241293,0.386936963,0.001540309,0.201292756,0.080060156,0.03166611
Q13085,ENSG00000275176,0.606600158,0.19727156,0.019862363,-0.239861388,0.000423967,0.050630239,0.673719061,0.074945318
Q5MIZ7,ENSG00000275052,0.021699664,-0.456147694,-0.862587174,-0.227607931,0.5613579,0.202951336,0.068475231,0.517828688
A0A087WV05,ENSG00000274944,1.701481521,1.139310221,1.49081617,-0.100248533,0.000257047,0.012050726,0.013099236,0.850410232
A0A0G2JN29,ENSG00000274779,-0.882956296,-0.05142511,0.110909263,0.132189309,4.80E-05,0.355528306,0.088156489,0.077757583
P62805,ENSG00000274618,1.003832415,0.223741927,0.506493723,0.388849719,0.000387332,0.208058394,0.038663137,0.078800923
Q96I51,ENSG00000274523,0.517150977,-0.102832041,0.031524975,0.078647458,0.005683412,0.776889152,0.73528446,0.433119904
Q8N6N6,ENSG00000274180,-0.13262768,0.293362491,-0.424086653,-0.535114198,0.408780467,0.326122069,0.176012479,0.116224193
A6NHX0,ENSG00000274070,-0.319960211,0.188721273,0.455098411,-0.107444632,0.147237024,0.36017292,0.076449501,0.685874445
Q9UMZ2,ENSG00000274047,0.104800098,-0.371507045,-0.014541529,-0.368228056,0.59884314,0.157934418,0.8969405,0.147407684
Q16594,ENSG00000273841,0.250003298,-0.08384261,-0.25867055,0.045541524,0.465688911,0.88317111,0.616714818,0.928809734
Q9GZR7,ENSG00000273761,0.544814761,-0.001050667,0.007833452,0.276328926,0.0005734,0.802572222,0.72854374,0.055277876
Q7L576,ENSG00000273749,-0.765751138,0.152964612,0.210984122,-0.18329861,0.000105326,0.032737968,0.01953953,0.035654477
A0A2Y9D025,ENSG00000273397,0.214090833,0.362804225,0.268283507,-0.023109048,0.195112,0.03672633,0.033903049,0.831425127
Q9NPI6,ENSG00000272886,0.208312093,-0.018876412,-0.248369337,0.167253658,0.057894596,0.942099462,0.151847782,0.122367761
A8CG34,ENSG00000272391,0.165813077,-0.367336782,-0.222955328,0.11816914,0.084605793,0.096831811,0.403931042,0.193104595
O95989,ENSG00000272325,0.255726278,0.287708461,0.031906813,-0.287391007,0.206016231,0.209725784,0.962626069,0.153027746
Q8IVB5,ENSG00000271601,-1.836451049,0.275705877,-0.260172804,-0.442451853,0.000393416,0.164951938,0.32614855,0.186702386
Q9BYN0,ENSG00000271303,-0.663726239,-0.068354774,0.311183909,0.463031227,0.005864629,0.640411657,0.07439407,0.082306149
S4R3N1,ENSG00000270757,0.237956877,0.123354889,0.146065949,0.200394489,0.016227238,0.102653258,0.077376052,0.046389961
Q92804,ENSG00000270647,0.786141642,-0.333586782,0.048367872,0.188371754,0.002160023,0.264103362,0.60064586,0.207182436
R4GMW8,ENSG00000270181,-0.617531182,-0.079235853,0.349692362,0.169676153,0.027556312,0.83789232,0.12568276,0.440579555
Q9Y6K9,ENSG00000269335,-0.836684647,-0.276031962,-0.146374158,-0.129085695,0.001288818,0.045931956,0.165053107,0.277178784
