accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
Q86TB3,ENSG00000198796,-2.626582742,0.967458106,-0.249003249,-0.34053642,0.002255981,0.0198174,0.296777142,0.149479586
P42345,ENSG00000198793,0.419678866,-0.030071874,-0.033986821,-0.175163901,0.003226982,0.630746229,0.589398091,0.116677823
Q9UIV1,ENSG00000198791,0.260519739,0.456816481,0.48551811,0.41471354,0.043357341,0.023815724,0.021785571,0.124459924
P03915,ENSG00000198786,1.089818421,0.586112846,0.259244256,-0.035895056,0.000359879,0.000184313,0.038623734,0.220420149
Q96NB3,ENSG00000198783,0.72555541,-0.345884273,-0.50509978,-0.131010172,0.00100422,0.101973905,0.054851634,0.337351609
D6RB01,ENSG00000198780,3.473001748,-0.086691873,-1.251432024,-0.544371218,0.002036732,0.420141062,0.17331703,0.056588527
P03891,ENSG00000198763,0.479541393,0.770059182,0.419668694,0.246512663,0.007509745,0.00402341,0.082195239,0.313810587
P62906,ENSG00000198755,-0.280453891,-0.027479717,0.338257157,0.164522329,0.007663064,0.80359096,0.02361413,0.066848787
Q9Y5S2,ENSG00000198752,-0.682617157,-0.200442713,-0.201646667,-0.356904137,0.020448447,0.310611267,0.301984473,0.139019715
Q6PD62,ENSG00000198730,1.069547715,-0.086269359,0.12988176,0.34834794,0.000475335,0.872139371,0.377879104,0.092952811
Q86U70,ENSG00000198728,0.520910344,0.830867801,1.056132282,0.662625104,0.009156584,0.016617365,0.015850155,0.114881402
P00156,ENSG00000198727,-0.0121408,0.346733976,-0.251876035,0.103585563,0.969650893,0.235027503,0.284563649,0.5200877
A0A1B0GUS7,ENSG00000198722,0.709253531,-0.035472689,0.044086369,-0.023070296,0.012135328,0.299960286,0.891966376,0.683984931
A0A0C4DGA2,ENSG00000198721,0.048698725,0.296855993,0.078289597,-0.022443318,0.242672702,0.003583386,0.275892295,0.738554001
P00403,ENSG00000198712,1.102421172,0.203359704,-0.148855096,0.040513509,1.35E-06,0.176810721,0.038977018,0.306155104
A0A6Q8PGB1,ENSG00000198707,-0.623241893,0.030955561,0.058573723,-0.08591946,0.006194267,0.753138108,0.526722991,0.731583507
Q96P70,ENSG00000198700,0.315929055,0.129579953,0.143616806,0.152044813,0.014169597,0.239223983,0.212381596,0.169317641
P03923,ENSG00000198695,1.274227634,0.669384559,0.390772416,0.130208083,0.005576177,0.007356272,0.160778453,0.701757167
Q92581,ENSG00000198689,-0.87030661,-0.081457238,-0.196912422,-0.359490164,0.001470104,0.414982213,0.151847782,0.063874328
O95340,ENSG00000198682,-1.282137546,-0.733884594,-0.213668884,-0.227042189,0.015304984,0.120475274,0.654362885,0.584567893
Q6PGP7,ENSG00000198677,-0.13578409,-0.157817976,-0.067034685,-0.17697403,0.120570079,0.17982551,0.414332316,0.135796355
Q6UWU4,ENSG00000198663,-0.823556824,-0.255969366,0.09878483,-0.089228618,0.000204563,0.097627728,0.473766856,0.328307264
Q9UEW8,ENSG00000198648,-0.047339929,0.130942445,0.28269853,-0.086939568,0.264908166,0.177104439,0.032947373,0.351199337
E9PGT6,ENSG00000198612,0.138717477,0.446386586,0.369631489,0.224646947,0.073343833,0.003666413,0.012486539,0.090958301
Q9NRL2,ENSG00000198604,1.663678924,-0.18925841,0.372860365,0.77811466,0.000344497,0.839855962,0.22040623,0.057248136
A0A494C1L5,ENSG00000198589,1.190509025,-0.117911606,-0.037541692,-0.276426078,3.20E-05,0.253155205,0.663402455,0.077488914
Q96DE0,ENSG00000198585,-0.525708522,0.181967735,-0.151681843,-0.00172555,0.000259142,0.058662229,0.15562468,0.751437834
Q8N130,ENSG00000198569,-2.386764814,0.209406859,-0.445939608,-0.373991166,0.001773506,0.471236757,0.098602875,0.109370234
A0A669KB05,ENSG00000198561,-0.06697573,-0.44095511,-1.05020168,-0.03787222,0.551526495,0.115809776,0.038589833,0.746847646
C9JZR2,ENSG00000198561,-0.73427186,-0.152970857,-0.064546184,-0.240206243,0.015803045,0.373683644,0.575772971,0.205593033
O75717,ENSG00000198554,1.089453159,-0.780331022,0.110763469,0.520232264,0.00346025,0.279414778,0.474388069,0.100128728
A0A087WY35,ENSG00000198542,-1.59337418,0.209139829,0.738962938,-0.085619652,0.03611618,0.560923303,0.157037757,0.987904948
Q8WXF7,ENSG00000198513,-0.264780485,0.254555123,-0.62436273,-0.897387302,0.012465847,0.035774207,0.014381272,0.010976581
H0Y9X1,ENSG00000198498,1.235264476,0.093941612,-1.556309108,0.088102993,0.001909161,0.593758175,0.120111536,0.558982098
Q9Y5A9,ENSG00000198492,0.16047417,-0.334283661,0.050664429,0.037032011,0.131545808,0.232163543,0.529904563,0.536572258
Q6ZMB0,ENSG00000198488,-1.432419705,-0.332472107,-0.048086284,0.255267895,0.008634673,0.318117974,0.745249384,0.449194176
Q9UJC5,ENSG00000198478,1.811315056,-0.386235113,-0.76890523,-0.088961323,0.00164903,0.124841058,0.057234673,0.550735684
A7XZE4,ENSG00000198467,-2.789819833,-0.619290725,-0.703672722,-0.412285813,0.018596864,0.244693606,0.215984596,0.299703783
Q5TCU3,ENSG00000198467,-2.902799493,-0.573184726,-0.787713473,-0.459466757,0.020016112,0.274522413,0.2044881,0.283367737
Q16881,ENSG00000198431,-1.642613986,-0.433313601,-0.689458549,-0.893073386,0.001584572,0.06522807,0.038212143,0.037617713
Q9Y4C2,ENSG00000198420,-0.337183076,0.561941423,0.268941198,0.051914402,0.004540139,0.001848045,0.041636805,0.666900786
O60502,ENSG00000198408,0.121294238,0.361821978,0.111196453,-0.186662543,0.45255312,0.055630801,0.615852698,0.148419191
E7EPJ2,ENSG00000198399,-0.372854406,-0.058787185,-0.22238904,-0.374044749,0.009465592,0.433149573,0.236659144,0.083588068
Q06210,ENSG00000198380,-1.255822904,0.035622698,0.002204445,-0.465065798,3.35E-06,0.26909328,0.939145648,0.00194519
O00308,ENSG00000198373,0.975345189,0.4948475,0.420635984,0.500450109,0.020574882,0.027654977,0.12568276,0.14332333
Q12797,ENSG00000198363,-2.096485038,0.241430209,0.064650965,-0.306983977,0.000329493,0.085855625,0.744882894,0.060031691
O43681,ENSG00000198356,-0.476531942,-0.063113981,-0.060972694,-0.168375797,0.001347601,0.328219778,0.3352506,0.086520008
E7EW05,ENSG00000198301,0.082708042,-0.274151223,0.174041984,0.367477195,0.154548132,0.136274449,0.100394423,0.031641172
Q9NWZ5,ENSG00000198276,-0.159654718,-0.262319524,-0.069836062,-0.177523119,0.114451127,0.042002514,0.71932294,0.35566175
P42694,ENSG00000198265,0.374498353,-0.247089537,-0.137458726,-0.184607385,0.026222299,0.321893054,0.363260392,0.218681564
Q9BZL1,ENSG00000198258,0.426531143,-0.312520303,-0.230414272,0.203481271,0.019359798,0.186883989,0.348221356,0.257000943
Q8WUJ0,ENSG00000198252,-0.212673296,0.326080252,0.56331853,-0.06777201,0.206697818,0.119795662,0.152387442,0.651702715
P62750,ENSG00000198242,-0.276098205,-0.154237717,0.042577777,0.050543752,0.0150144,0.159820877,0.533166483,0.418767987
Q86XP3,ENSG00000198231,0.758396951,-0.187452002,0.035043053,0.229918784,0.001275344,0.381110027,0.692895059,0.125582367
Q2TAL8,ENSG00000198218,0.220532842,0.156399198,0.398512562,0.452977147,0.118923888,0.360558393,0.082806322,0.06509761
Q8NBQ5,ENSG00000198189,-1.862894009,-0.151010129,-0.256240916,-0.477465689,0.00019904,0.09934065,0.039866225,0.022570363
Q14186,ENSG00000198176,0.355200039,0.260058489,0.145344723,0.382322694,0.078418952,0.251066447,0.449270022,0.432148163
Q96HY6,ENSG00000198171,0.160583712,0.061764161,-0.020032074,0.010366442,0.037627328,0.498114363,0.759417651,0.996716015
O60476,ENSG00000198162,-0.735775137,-0.014370896,0.203179784,-0.293912633,0.000758238,0.872159718,0.08067048,0.057039964
Q8N108,ENSG00000198160,0.21350639,-0.224108795,-0.092154999,0.279332414,0.13698845,0.537056228,0.919597883,0.133727417
Q5JSL0,ENSG00000198157,1.622620954,-0.433065119,-0.539023059,-0.299966745,0.004434702,0.129795104,0.046230846,0.082172988
Q53LP3,ENSG00000198142,-0.65528451,0.318331433,0.505821719,0.212502456,0.017557558,0.112070582,0.077544055,0.433500053
Q6NVY1,ENSG00000198130,0.811141873,-0.218088961,-0.631364489,-0.019725378,0.000542802,0.07569786,0.011782184,0.765922347
F8W8A6,ENSG00000198130,0.725486453,0.412195698,0.023401453,0.471616684,0.001116952,0.066291934,0.824254008,0.097517415
Q9NXH8,ENSG00000198113,-1.579780488,-0.510363366,0.096335481,-0.736955034,0.007570719,0.230559308,0.48547776,0.109334678
Q9Y5K6,ENSG00000198087,1.098090871,-0.44225797,-0.166328279,-0.284796061,1.35E-05,0.007913168,0.076259598,0.033466073
Q9NX47,ENSG00000198060,0.207319888,-0.307194594,-0.041879176,0.03104544,0.017037729,0.050981042,0.914164046,0.492828787
A0A5F9ZHB6,ENSG00000198056,2.258461054,-0.624091025,0.401695607,0.746607849,0.000103245,0.499296527,0.248325751,0.087342254
P78324,ENSG00000198053,-1.673678738,-0.210538398,0.049424441,-0.499685158,0.002494365,0.256255396,0.963525149,0.080960304
Q9BXY0,ENSG00000198042,-0.050936779,0.0744038,-0.037950416,0.006363137,0.459570822,0.385173937,0.557648424,0.972377673
P62701,ENSG00000198034,-0.247713678,-0.004263685,0.120623082,0.148323348,0.017845493,0.791903687,0.113811017,0.077757583
F5H101,ENSG00000198000,0.657188387,-0.191686157,0.007375646,0.27428464,0.000534221,0.306987223,0.739754138,0.068043148
Q02040,ENSG00000197976,1.649569406,0.092093473,0.179618966,0.429513979,0.00023902,0.457525529,0.250065362,0.065601667
J3QQK6,ENSG00000197971,1.257514356,0.248556916,-0.611421565,-0.903311872,1.59E-05,0.046675959,0.033197771,0.024891885
Q96RL7,ENSG00000197969,0.601658574,0.073055545,0.005493547,-0.397671409,0.018600047,0.914696505,0.901547359,0.208856608
O95297,ENSG00000197965,-0.594240898,-0.093165276,-0.137728199,-0.469656878,0.004502741,0.017116015,0.493750571,0.06172435
E5RHK8,ENSG00000197959,0.786914557,-0.027659261,0.32470236,0.170592911,0.004950755,0.967280421,0.11517322,0.271319326
P30050,ENSG00000197958,-0.243965238,-0.118697443,0.024096093,0.097227433,0.025458224,0.298959769,0.64122883,0.171367706
P06703,ENSG00000197956,-2.528092656,1.149050214,1.113976924,-0.550927599,0.002844504,0.002601485,0.131809217,0.108742948
Q86WN1,ENSG00000197948,-2.712549569,-0.133913307,-0.489077124,-0.458127776,0.009192995,0.554433104,0.221943689,0.200893955
Q96HE7,ENSG00000197930,-0.830666313,-0.181872851,0.033117257,-0.019554473,0.0167332,0.346192867,0.868077817,0.676319895
Q86YZ3,ENSG00000197915,-0.709380726,-1.271467333,0.770233521,-0.118746884,0.072532277,0.067816864,0.743713354,0.716983323
P11766,ENSG00000197894,-1.977734837,0.150923568,-0.284871077,-0.35854198,0.000692391,0.394804862,0.093921951,0.069376411
Q9NQT8,ENSG00000197892,1.235067692,0.173629016,-0.630105747,0.265602562,0.000128956,0.417174037,0.060263868,0.184731013
O00159,ENSG00000197879,-1.661901503,0.312838212,0.300928684,-0.448072751,0.003663352,0.232169948,0.252575174,0.104549422
Q96EQ0,ENSG00000197860,0.228409803,0.527829224,0.77493412,-0.233634841,0.04721907,0.034468782,0.032970687,0.132763288
O43292,ENSG00000197858,-0.24179717,-0.173670034,-0.206709957,-0.04060817,0.120886941,0.074784812,0.070747864,0.776323379
A0A6E1Y6F7,ENSG00000197816,-0.29389835,0.189646144,0.356253535,0.245988023,0.256123078,0.343685627,0.154983644,0.302503206
Q9BPY3,ENSG00000197798,0.102430619,-0.49641677,-0.050336597,-0.072599018,0.350925194,0.089592015,0.915469828,0.791213581
Q9NVI7,ENSG00000197785,0.019975492,-0.095403865,0.181284787,0.430179954,0.518223242,0.775235559,0.148281267,0.031000276
Q9BTE3,ENSG00000197771,1.363026566,-0.080813573,0.226428379,0.429984499,0.001258134,0.966140929,0.348330294,0.132107999
P61513,ENSG00000197756,-0.447785721,-0.16621723,0.126231144,0.090447834,0.000999569,0.084624536,0.201802911,0.251694657
P60903,ENSG00000197747,0.365962857,1.817061672,0.223389057,0.610287361,0.063087266,0.000383568,0.32292835,0.132093891
P62854,ENSG00000197728,-0.776954505,-0.073282173,0.168522456,0.087959755,9.29E-05,0.440603234,0.034525444,0.114538561
O75151,ENSG00000197724,0.390302601,-0.554843817,-0.070559347,-0.0894931,0.009336599,0.062741939,0.902739546,0.841205849
C9J6A7,ENSG00000197713,-1.507827268,-0.762853368,-1.023578877,-1.212873234,0.036420045,0.190093659,0.146136547,0.109370234
Q8IWE2,ENSG00000197712,-2.979050624,0.465335046,0.363879154,-0.205789079,0.00020945,0.008086935,0.026407106,0.080989586
Q9NVD7,ENSG00000197702,-1.565611881,0.04423272,0.226733471,0.188882129,0.000115638,0.600037897,0.024891873,0.049417919
Q13813,ENSG00000197694,-0.653734505,0.179975375,-0.280492155,-0.855020608,0.025957339,0.609200607,0.229511252,0.062603846
A0A0D9SF54,ENSG00000197694,-0.622816438,0.273645579,-0.400516157,-0.868201418,0.042256969,0.396659442,0.191829886,0.073812911
A0A7I2V2R5,ENSG00000197635,-3.147199339,-0.601447907,-0.067409256,-1.056011151,1.95E-05,0.005890884,0.446939691,0.035157549
P05120,ENSG00000197632,-2.596895866,-2.310721451,-0.198497827,-0.664700498,0.006110079,0.026254115,0.689961476,0.142523522
P13533,ENSG00000197616,-0.15080816,-0.171041813,-0.082513834,0.488867664,0.392969418,0.398837037,0.636527524,0.484459067
Q8WVX9,ENSG00000197601,0.443113737,0.846523273,0.16869543,0.383066087,0.008276982,0.008151602,0.172113904,0.065709574
P22413,ENSG00000197594,-1.412625578,-0.083112085,-0.202682822,-0.943394237,0.000115185,0.317883519,0.077511151,0.008726439
K7ELE1,ENSG00000197563,0.963738496,0.435292166,0.08629674,-0.16159633,0.00879054,0.011112029,0.671733804,0.087039391
O43166,ENSG00000197555,-1.419737842,-0.395559339,-0.076435998,-0.056461006,0.00037036,0.022150659,0.360915805,0.4079985
O95352,ENSG00000197548,-0.909471019,0.397983628,0.178543507,-0.405545469,0.003461147,0.057809337,0.357500832,0.087039391
Q9Y4I1,ENSG00000197535,-0.751599517,-0.205833929,-0.27858769,-0.532094964,0.001230229,0.075613097,0.05507653,0.026814844
Q5VXN0,ENSG00000197498,0.628068656,0.145998237,0.157851466,0.588080726,0.003938923,0.525692657,0.377353572,0.055676249
D6RBZ0,ENSG00000197451,0.814900613,0.20300169,0.738451205,0.627664807,0.001321319,0.275814833,0.020815636,0.102782634
Q9Y2Q3,ENSG00000197448,-0.812442962,0.524183944,-0.228759603,-0.233477278,0.007138833,0.314202896,0.203711123,0.182334857
P68431,ENSG00000197409,1.173887054,0.002520948,0.097524099,0.459686924,0.000250429,0.869332841,0.554519325,0.071520895
A0A7P0TAC5,ENSG00000197386,0.065594735,-0.035521968,0.063442423,-0.053224491,0.080627568,0.606132394,0.159998289,0.231753086
P78563,ENSG00000197381,-0.023284881,0.624130995,0.717311333,0.258519323,0.622872636,0.073566631,0.05167018,0.497406668
Q3KQV9,ENSG00000197355,-1.169462385,-0.137891743,-0.115269064,0.245726749,0.002219736,0.324490542,0.362444757,0.154011652
Q7Z2W9,ENSG00000197345,1.389226301,0.165552693,0.133087542,0.465584412,0.000348095,0.183739535,0.243912243,0.06899416
Q9UPN9,ENSG00000197323,1.177554787,0.029494707,0.273449772,0.262831197,0.000250429,0.696014068,0.161783021,0.140980094
A0A6I8PIX7,ENSG00000197321,0.484550028,-0.348572915,-1.418854677,-0.83627763,0.018781163,0.101505805,0.014510635,0.044484823
Q5TDH0,ENSG00000197312,0.885169775,0.000499509,0.042360466,0.002480337,1.70E-05,0.880970453,0.721143831,0.9138175
Q8N6M3,ENSG00000197296,-0.388769735,0.342492956,0.09579394,0.114928939,0.032949039,0.032612421,0.246536695,0.175507422
Q9Y620,ENSG00000197275,1.546436372,-0.098189595,0.738325701,1.058796465,0.002869897,0.840277404,0.143687454,0.067557275
P29084,ENSG00000197265,0.827500714,0.150009563,0.236986539,0.774591481,0.002817002,0.375191853,0.219189071,0.042123507
Q63ZY3,ENSG00000197256,-2.477459206,-0.025470472,-0.199764835,-0.049784783,0.000182498,0.630466553,0.080388085,0.405848944
Q66K14,ENSG00000197226,-0.887235768,0.285062553,0.20884063,0.072412674,0.004405587,0.139214609,0.281322541,0.818213614
Q13901,ENSG00000197223,1.16172974,-0.393054571,0.362766556,0.381047589,0.007903965,0.354064319,0.336085071,0.21328844
Q9Y227,ENSG00000197217,-0.695554193,0.446370783,0.682919223,0.228259701,0.111236037,0.290611619,0.17241881,0.252207207
O00232,ENSG00000197170,-0.274600047,0.197342359,0.332912949,0.218174884,0.000499194,0.008056582,0.003051547,0.265741537
Q7KZF4,ENSG00000197157,-1.203905566,-0.088984038,0.160947161,-0.131932469,4.71E-05,0.053150518,0.019825093,0.039318997
Q9NUT2,ENSG00000197150,0.469245824,0.692581723,0.550938388,0.45887743,0.029948477,0.01051852,0.149150408,0.120084448
P12931,ENSG00000197122,-0.033619813,0.170820562,0.118513446,-0.077561245,0.544274729,0.479972961,0.685165572,0.450405677
F8VZX2,ENSG00000197111,1.038793014,-0.522305445,-0.650015845,0.887572602,0.095327343,0.574529764,0.464722279,0.069122324
Q15366,ENSG00000197111,0.146641462,-0.618138499,-0.489434666,0.277119688,0.30710383,0.052089217,0.088157782,0.203147523
Q14204,ENSG00000197102,-0.559138691,0.275712478,0.133046993,-0.266782843,0.007473226,0.110056741,0.453000634,0.096988347
P11717,ENSG00000197081,0.039016302,0.308651705,-0.047481582,-0.348377851,0.973244573,0.092862551,0.562958572,0.080554023
O15525,ENSG00000197063,0.323632593,-0.433079231,-0.009337392,-0.301110784,0.001159931,0.019100729,0.92567203,0.081730315
P60983,ENSG00000197045,-0.371174406,-0.028506237,-0.19940141,-0.45970397,0.097945556,0.790142519,0.281303142,0.084769948
E5RK69,ENSG00000197043,-2.960632097,-0.020195262,-0.268951151,-0.199599264,0.000436775,0.775010443,0.105606382,0.121655488
P08133,ENSG00000197043,-3.018422374,-0.022272995,-0.170014736,-0.219647301,0.000275975,0.643099753,0.145335285,0.093696456
C9JBX7,ENSG00000196998,0.272268776,-0.028389424,0.259542675,-0.064387815,0.032503916,0.866689358,0.262368178,0.61412592
P09525,ENSG00000196975,-1.6037075,-0.090607362,-0.372596866,-0.513925517,0.002909172,0.464173131,0.125310939,0.079922187
Q495W5,ENSG00000196968,-1.619278826,0.085251959,-1.07013761,0.018937557,0.001157757,0.782693736,0.020131447,0.898104697
O95782,ENSG00000196961,-1.813851445,-0.015745151,-0.042830805,-0.280939485,0.001542319,0.701287533,0.578980625,0.122446324
P49662,ENSG00000196954,-0.289259387,-0.67302285,0.254738509,-0.678782554,0.339608945,0.105239809,0.319659508,0.200617649
Q9ULF5,ENSG00000196950,-0.272799042,0.134191712,-0.446003028,-0.698300798,0.071832382,0.576529654,0.076571404,0.048044588
Q86U38,ENSG00000196943,0.764982691,0.423569349,0.779557556,0.829909807,0.002006288,0.021396013,0.004621672,0.127600542
Q92520,ENSG00000196937,-1.155484484,0.053661925,-0.387051812,-0.332952635,0.000525119,0.393680433,0.049486633,0.072901227
Q7Z6B7,ENSG00000196935,-1.562285651,0.186079372,-0.076618141,-0.358649939,1.04E-05,0.081391755,0.36382475,0.006235582
P21333,ENSG00000196924,-1.111161566,-0.117447237,-0.012533107,-0.021628386,0.004884605,0.402538729,0.730562237,0.656437507
Q9NR12,ENSG00000196923,-1.817645549,-0.562834272,-0.265475505,0.058791824,0.007951075,0.135216431,0.314091504,0.946900543
D6RAN1,ENSG00000196923,-4.66122335,-2.455640542,-0.352721799,-1.455711748,0.021451894,0.083921181,0.444652474,0.120787546
E9PMR6,ENSG00000196914,-0.460943447,0.129536081,0.303006009,-0.157398364,0.014735966,0.791826493,0.353524748,0.34163858
Q8N257,ENSG00000196890,0.037644713,-0.729724018,0.26362812,-0.232704392,0.403253282,0.02228228,0.183181247,0.399749588
Q8NBF2,ENSG00000196865,0.493937292,0.238603382,-0.056743973,-0.087768933,0.002240933,0.003146792,0.398938908,0.103822532
Q8NI37,ENSG00000196850,1.740128073,-0.055431142,-0.061420721,0.641888013,0.008092844,0.90692614,0.907474078,0.274688451
P00813,ENSG00000196839,-1.007840148,0.339553743,-0.023710701,0.274332966,0.013836701,0.2848109,0.766551564,0.325415335
F8W922,ENSG00000196814,1.123924339,-0.017726831,0.140022256,-0.030242006,0.00065808,0.945734365,0.512698681,0.911132676
Q13033,ENSG00000196792,-0.683628892,-0.022716455,-0.521067512,-0.246151613,0.011573579,0.778613123,0.080060156,0.186633768
Q04724,ENSG00000196781,1.419096976,-0.411845429,-0.478733846,0.048258618,0.000374572,0.028435706,0.067523416,0.531842342
Q08722,ENSG00000196776,-0.893742078,0.12184542,-0.317267481,-0.597352054,0.015342333,0.809791823,0.212357942,0.091303246
P17900,ENSG00000196743,-0.625302868,-0.110579624,-0.39230905,-0.155596872,0.005226501,0.326122069,0.059608339,0.202761911
A0A3B3ISV4,ENSG00000196715,-0.431253941,-0.157037139,-0.121551798,-0.028312629,0.003111862,0.106843575,0.176293628,0.721309105
P21359,ENSG00000196712,0.09821634,0.066906154,-0.080255097,-0.41484994,0.64181116,0.870284884,0.488822035,0.081109461
Q96KM6,ENSG00000196700,0.079569059,0.307992874,0.359153896,0.019344134,0.74660859,0.499754536,0.214733355,0.972590953
B5MD00,ENSG00000196683,3.078132755,0.932981008,0.865484726,0.96332855,0.001255537,0.008420428,0.061721786,0.034751309
Q9Y296,ENSG00000196655,-0.012414377,0.151108329,0.19753951,0.087370188,0.642199151,0.034788582,0.069785797,0.135451272
Q3YEC7,ENSG00000196642,1.068495922,-0.038412435,0.04101634,-0.027113363,0.000297992,0.443938362,0.51706526,0.515109164
P03956,ENSG00000196611,-0.04643356,0.141112055,0.278546691,-0.100179504,0.638017231,0.171293791,0.284563649,0.282234165
A5A3E0,ENSG00000196604,-0.70569555,0.323580253,0.505487944,-0.034090605,0.005226501,0.037169489,0.20383423,0.654923301
Q92769,ENSG00000196591,1.26539484,-0.079377512,0.465034967,0.587929476,0.000256069,0.867098837,0.053285191,0.039812964
A0A0A0MRM8,ENSG00000196586,0.497263258,-0.069196474,0.014421976,-0.318887649,0.020601353,0.57268154,0.858389562,0.139867246
O15031,ENSG00000196576,-0.680039862,0.279528938,-0.115922492,-0.352672369,0.01362386,0.220947223,0.421084927,0.116994234
P08473,ENSG00000196549,-2.456809541,1.202679349,0.409256796,-0.408890863,0.004211098,0.007836278,0.204808056,0.152692635
Q96GS4,ENSG00000196544,0.351605577,-0.411899794,-0.704764671,-0.192881748,0.008662729,0.087837722,0.036684698,0.573759978
Q92614,ENSG00000196535,-0.317904573,0.042795247,0.001641996,-0.166871934,0.000264861,0.391244079,0.908353987,0.026649179
H0YHX9,ENSG00000196531,0.375088626,0.149449804,0.3149468,0.347203072,0.019753315,0.293953212,0.095548325,0.077711813
Q8N556,ENSG00000196526,-2.882409948,-0.160475716,-0.332670193,-0.186558062,0.002340415,0.385267482,0.187876184,0.292834272
Q9UJX3,ENSG00000196510,0.97004873,0.363618833,0.362776627,0.62304428,0.001373215,0.125036943,0.147386897,0.069234176
Q969E4,ENSG00000196507,-0.633973865,-0.073445975,-0.349126333,-0.484439495,0.006621719,0.314202896,0.020879682,0.021552724
Q9NXN4,ENSG00000196505,-0.395197488,-0.138640525,0.016545792,-0.244391551,0.028359821,0.368873857,0.862785667,0.142646041
O75400,ENSG00000196504,0.697782847,-0.045867407,0.086144232,0.206622637,0.000236835,0.861231335,0.34895791,0.092127221
C9JE98,ENSG00000196498,-1.200835066,-0.669861711,0.013656518,0.361085787,0.031870336,0.227429564,0.743942368,0.141625543
Q8TEX9,ENSG00000196497,0.764013245,-0.121681298,-0.029173593,0.262288317,0.000927452,0.658625841,0.979558995,0.122015788
P14649,ENSG00000196465,-0.225042185,-0.088769981,-0.07418025,-0.068804532,0.21346182,0.412175202,0.531413142,0.42283923
Q99570,ENSG00000196455,-0.613460425,0.090599618,0.215194945,0.123198259,7.62E-05,0.059172347,0.029881817,0.008903122
Q86U90,ENSG00000196449,0.877122045,0.353220285,0.446598755,0.470111328,0.033051756,0.211465228,0.081125322,0.055277876
O75157,ENSG00000196428,-1.48156818,0.259887125,-0.160135964,-0.206655451,0.003853921,0.392385865,0.343865339,0.243025141
P12956,ENSG00000196419,1.043635545,0.079188073,0.338199468,0.462243973,0.000326256,0.482106265,0.074389654,0.045716683
Q96L35,ENSG00000196411,-0.213077073,0.010025439,-0.08884862,-0.153515037,0.022730318,0.809842258,0.257488828,0.104692668
P18031,ENSG00000196396,-0.494019049,-0.32861288,-0.028486715,0.020739498,1.04E-05,0.003030651,0.285304906,0.464056605
H0Y4W2,ENSG00000196367,0.505494811,0.035862184,0.141108264,0.180038033,0.000139393,0.671403021,0.154836549,0.150646315
K7EKE6,ENSG00000196365,0.689857947,0.420867219,0.109471165,0.468045686,0.000692391,0.013564005,0.423242326,0.031492927
P61964,ENSG00000196363,1.36425782,-0.075279247,0.073791711,0.245901925,4.61E-05,0.775235559,0.589398091,0.136797772
P41252,ENSG00000196305,-0.022319128,0.356905772,0.074247199,-0.111495155,0.435079931,0.006698335,0.300851516,0.096089021
Q9GZT8,ENSG00000196290,0.70818784,-0.032571913,-0.201240101,0.125164075,0.00062174,0.796177946,0.102267448,0.361213568
A0A7I2V4V1,ENSG00000196262,-0.199285582,-0.593451232,-1.683117687,-0.118301942,0.584574878,0.166430483,0.032607689,0.754063848
P62937,ENSG00000196262,-0.530767593,-0.007516561,-0.143076717,-0.176219732,0.000434586,0.759899702,0.07572429,0.05597268
Q9NQH7,ENSG00000196236,0.697869669,0.694117386,0.275971525,0.00751389,0.000506129,0.002796255,0.049065411,0.940894538
O00267,ENSG00000196235,1.895520311,-0.234090353,0.008974704,0.188485446,2.82E-06,0.232316449,0.755120318,0.12442299
A0A6Q8PGR8,ENSG00000196233,1.779129213,0.047872611,-0.152611938,0.206535204,1.35E-05,0.637148171,0.684731316,0.236518913
P07437,ENSG00000196230,-0.756652332,0.240901813,0.120032995,-0.243904225,0.000276438,0.020635094,0.18806979,0.046354979
Q99549,ENSG00000196199,0.673775057,0.240234856,0.186737235,0.329991348,0.002249148,0.17464048,0.284429464,0.114202869
P45954,ENSG00000196177,1.073557814,0.122440333,-0.268117577,-0.448394077,0.001243011,0.757138801,0.23522712,0.111528147
Q6V0I7,ENSG00000196159,-1.40944815,0.94204307,0.027026284,-0.491573244,0.021831504,0.037975125,0.853619895,0.18940881
Q58EX7,ENSG00000196155,-2.46433709,0.312005918,0.380454995,-0.27606052,0.00367899,0.372909604,0.287316014,0.230516383
P26447,ENSG00000196154,-3.699408145,1.326202845,-0.348632375,-0.033743284,0.002922339,0.003578342,0.233081507,0.748258139
Q8N9V3,ENSG00000196151,1.572121701,0.258571332,-0.829542143,-0.50701279,0.000375997,0.38006924,0.052223622,0.155962703
F8W6C2,ENSG00000196141,-1.370000962,0.159104938,0.108947984,-0.058735262,0.016512413,0.381110027,0.450748547,0.836298978
Q9NUQ6,ENSG00000196141,-1.412010183,0.48333325,0.41679247,0.235775494,0.004581859,0.049933242,0.093868073,0.131902491
A0A0A0MSS8,ENSG00000196139,-2.639082924,0.510556367,0.247013865,-0.943599018,2.33E-06,0.016837105,0.067238407,0.000190829
Q8NHU6,ENSG00000196116,1.077165163,0.104333691,-0.005276122,-0.482182143,4.11E-06,0.192784898,0.896086832,0.023193647
Q6QNY1,ENSG00000196072,1.171704488,0.278481216,-0.611230677,-0.374068599,0.004986187,0.358831905,0.099766684,0.161994321
